id,name,center_lng,center_lat
110000,北京市,116.405285,39.904989
120000,天津市,117.190182,39.125596
130000,河北省,114.502461,38.045474
140000,山西省,112.549248,37.857014
150000,内蒙古自治区,111.670801,40.818311
210000,辽宁省,123.429096,41.796767
220000,吉林省,125.3245,43.886841
230000,黑龙江省,126.642464,45.756967
310000,上海市,121.472644,31.231706
320000,江苏省,118.767413,32.041544
330000,浙江省,120.153576,30.287459
340000,安徽省,117.283042,31.86119
350000,福建省,119.306239,26.075302
360000,江西省,115.892151,28.676493
370000,山东省,117.000923,36.675807
410000,河南省,113.665412,34.757975
420000,湖北省,114.298572,30.584355
430000,湖南省,112.982279,28.19409
440000,广东省,113.280637,23.125178
450000,广西壮族自治区,108.320004,22.82402
460000,海南省,110.33119,20.031971
500000,重庆市,106.504962,29.533155
510000,四川省,104.065735,30.659462
520000,贵州省,106.713478,26.578343
530000,云南省,102.712251,25.040609
540000,西藏自治区,91.132212,29.660361
610000,陕西省,108.948024,34.263161
620000,甘肃省,103.823557,36.058039
630000,青海省,101.778916,36.623178
640000,宁夏回族自治区,106.278179,38.46637
650000,新疆维吾尔自治区,87.617733,43.792818
710000,台湾省,121.509062,25.044332
810000,香港特别行政区,114.173355,22.320048
820000,澳门特别行政区,113.54909,22.198951
